mouse_id,sex,pgm,liver_wt,gallstone_presence,gallstone_score,gallstone_count,gallstone_weight,gallstone_sandy,gallstone_solid,ChMC_agg,ChMC_ind,chol,HDL_log,nonHDL,D1Mit3,D1Mit21,D1Mit440,D1Mit102,D1Mit111,D1Mit17,D2Mit312,D2Mit79,D2Mit296,D2Mit7,D2Mit182,D2Mit94,D2Mit340,D2Mit285,D2Mit49,D2Mit113,D3Mit203,D3Mit51,D3Mit57,D3Mit147,D4Mit18,D4Mit110,D4Mit17,D4Mit155,D4Mit308,D4Mit251,D4Mit42,D5Mit387,D5Mit201,D5Mit95,D5Mit143,D6Mit86,D6Mit46,D6Mit123,D6Mit102,D6Mit36,D6Mit62,D6Mit111,D6Mit14,D6Mit373,D7Mit267,D7Mit345,D7Mit83,D7Mit323,D7Mit259,D8Mit155,D8Mit292,D8Mit40,D8Mit88,D9Mit58,D9Mit90,D9Mit129,D9Mit307,D9Mit24,D9Mit52,D10Mit123,D10Mit16,D10Mit184,D10Mit31,D10Mit264,D10Mit96,D10Mit14,D11Mit74,D11Mit189,D11Mit4,D11Mit178,D11Mit212,D11Mit67,D11Mit214,D12Mit182,D12Mit60,D12Mit227,D12Mit7,D13Mit302,D13Mit16,D13Mit19,D13Mit13,D13Mit128,D13Mit171,D14Mit98,D14Mit5,D14Mit7,D14Mit131,D15Mit13,D15Mit115,D15Mit71,D15Mit79,D16Mit32,D16Mit101,D16Mit125,D16Mit139,D16Mit86,D17Mit19,D17Mit51,D17Mit39,D17Mit123,D18Mit64,D18Mit12,D18Mit208,D18Mit48,D19Mit68,D19Mit30,D19Mit88,D19Mit26,DXMit81,DXMit1,DXMit8,DXMit149,DXMit121
,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,11,11,11,12,12,12,12,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,16,17,17,17,17,18,18,18,18,19,19,19,19,X,X,X,X,X
,,,,,,,,,,,,,,,6.272,33.7236,44.9792,63.32,77.08,95.029,1.81,15.148,21.806,24.2596,39.529,47.9283,73.5895,75.407,83.8263,96.2102,10.821,35.17,50.0865,74.0204,6.94,28.565,33.958,46.995,57.6588,69.051,82.6371,14.392,39.5473,63.8424,89.7997,1.806,13.08,27.7648,42.1129,48.928,53.6782,64.027,77.6401,77.701,17.092,28.2598,32.844,54.4466,88.854,2.1399,21.159,45.936,61.6553,2.9329,17.8017,24.4514,45.3374,55.069,73.0641,3.44,9.8192,22.891,35.2646,46.04,51.19,66.746,3.5172,27.389,41.8683,51.341,54.342,61.49,80.5953,5.5212,15.5407,38.4242,52.8018,3.246,7.2577,20.98,30.064,50.663,64.23,7.08,31.4878,44.984,63.586,1.843,22.9194,37.803,58.9747,2.3314,14.687,28.372,37.285,54.315,2.6828,19.7377,45.636,60.6705,4.459,19.2935,37.78,52.15,3.3831,21.3379,32.232,47.0086,20.5861,37.11,39.319,50.1421,73.953
1,1,1,1.6817,1,2,0,0,2,0,2,1,276,2.243,101,H,C,C,C,C,H,D,D,D,D,D,D,H,H,C,C,D,D,D,H,D,D,D,C,C,H,H,D,D,D,H,H,H,H,H,H,H,D,D,D,H,H,H,-,H,D,H,C,C,H,H,C,C,C,H,H,H,H,C,C,C,C,D,D,D,H,H,H,H,H,-,H,C,C,C,H,H,H,H,H,H,H,H,D,D,D,H,C,C,H,H,H,D,H,H,H,D,D,D,D,H,C,C,H,D,D,D,D,D
2,1,1,1.7771,0,0,0,0,0,0,0,0,291,2.307,88,H,D,D,H,H,H,D,D,D,D,D,D,D,D,D,D,C,C,H,H,C,H,H,-,H,H,H,D,D,H,H,H,H,H,H,D,H,H,H,H,D,D,D,H,C,H,H,D,D,C,C,C,C,C,H,H,H,H,H,H,H,H,D,D,H,H,H,H,H,C,C,C,C,H,H,H,-,H,H,D,D,H,H,H,D,D,H,D,D,H,H,H,H,H,C,H,H,H,D,D,D,H,H,H,D,C,C,C,C
3,1,1,1.5542,1,2,2,0.65,2,2,1,0,220,2.025,114,D,D,D,D,D,D,H,H,H,H,H,D,D,D,D,D,C,C,C,C,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,C,H,H,-,C,H,H,D,D,H,D,D,D,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,D,D,D,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,-,H,D,D,D,D,H,C,H,H,H,C,C,C,C,H,D,D,D,D,D
4,1,1,1.8169,1,2,0,0,3,0,1,0,319,2.22,153,H,C,C,C,C,C,H,H,H,D,D,D,D,D,D,D,H,H,C,C,H,-,C,-,H,H,H,H,D,H,C,-,D,D,D,D,D,H,H,H,C,C,C,H,H,H,H,C,H,C,C,H,H,H,H,H,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,D,D,D,D,D,D,D,-,C,C,C,C,H,H,C,C,C,C,C,C,C,H,D,H,-,H,H,H,H,H,H,H,C,D,D,D,D,C
5,1,1,1.8164,0,0,0,0,0,0,0,0,272,2.288,78,D,D,D,H,H,-,H,H,H,H,H,H,H,H,H,D,H,H,H,D,H,H,C,C,H,H,H,C,H,H,D,H,C,C,C,C,C,C,H,H,D,D,D,D,D,C,C,H,C,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,D,H,H,H,D,C,H,H,H,H,H,D,D,D,D,H,-,D,H,C,H,D,D,D,D,H,H,H,D,D,D,C,C,H,H,C,D,D,D,D,D
6,1,1,1.7047,0,0,0,0,0,0,0,0,196,1.839,127,C,H,D,D,D,D,H,H,H,H,H,H,C,C,C,C,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,H,C,C,C,H,H,C,C,C,H,H,H,H,D,D,D,D,H,H,H,D,D,H,C,C,C,C,C,C,D,D,H,H,D,D,D,D,D,H,C,C,C,C,H,C,C,C,D,D,H,H,C,H,H,C,C,H,H,H,H,H,H,H,H,D,D,D,D,D
7,1,1,1.3696,0,0,0,0,0,0,0,0,218,1.968,125,H,H,H,H,-,C,C,C,C,C,C,C,H,D,D,D,C,C,C,H,D,D,D,H,H,D,D,D,D,H,H,H,H,H,D,H,H,H,C,C,H,H,H,H,D,C,C,C,C,C,H,H,H,H,H,-,C,C,C,C,H,H,-,H,H,H,H,-,H,C,H,H,H,D,H,H,H,H,D,H,H,D,H,C,C,C,C,C,C,C,C,C,D,H,H,H,H,H,H,H,D,D,D,H,D,C,C,C,C
8,1,1,1.6826,1,2,1,0.64,0,2,0,0,198,1.732,144,H,H,H,D,D,H,D,D,D,D,D,H,C,C,C,H,H,H,H,H,H,-,H,D,D,-,D,D,D,H,H,C,H,H,H,H,H,C,C,H,D,D,H,H,H,H,D,H,H,H,H,H,H,C,C,H,H,H,C,C,C,H,-,H,D,D,H,H,H,H,-,H,H,C,H,C,H,H,H,H,H,D,D,D,D,D,D,H,H,H,H,C,C,C,C,D,D,D,H,H,H,D,D,-,C,C,C,C,D
9,1,1,1.516,1,2,0,0,2,0,4,0,668,1.568,631,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,C,H,H,H,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,-,C,D,D,D,H,D,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,-,H,H,C,H,H,D,D,D,D,H,H,C,C,C,D,D,D,C,C
10,1,1,1.485,0,0,0,0,0,0,0,0,157,1.892,79,C,C,H,H,H,H,H,H,C,C,C,C,H,H,H,H,C,C,H,D,C,H,H,D,D,H,H,C,H,H,C,-,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,D,D,H,H,H,H,H,H,H,H,H,D,H,H,D,D,D,H,H,H,-,D,H,H,H,H,H,H,-,H,C,C,C,H,H,H,H,D,D,D,D,D,C,C,C,-,H,H,H,H,C,C,C,H,C,C,C,C,D
11,1,1,2.482,1,2,0,0,4,0,4,1,346,2.025,240,H,H,H,D,D,D,D,H,H,H,H,D,D,D,D,D,D,H,H,H,D,D,D,C,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,D,C,C,C,C,D,D,H,C,C,C,H,H,H,H,H,H,H,C,C,C,C,C,C,C,H,H,D,D,D,D,D,D,H,C,D,D,D,D,D,D,D,C,C,C,C,C,C,D,D,D,D,C,C,H,H,H,H,D,D,C,C,C,C,C
12,1,1,1.6605,-,-,-,-,-,-,-,-,266,2.207,105,H,C,C,C,H,D,H,D,D,D,D,D,D,D,D,D,H,D,H,C,C,C,C,C,C,C,H,D,D,D,H,H,H,H,H,H,H,H,H,H,H,D,D,H,H,H,D,D,D,H,H,H,H,C,C,D,H,H,H,C,C,C,H,H,H,H,H,H,H,C,H,H,H,C,C,C,C,C,C,C,C,C,H,H,H,H,D,H,H,H,H,C,H,H,H,C,C,D,D,-,D,D,D,D,C,C,C,C,C
13,1,1,1.1749,0,0,0,0,0,0,0,0,211,1.74,156,H,H,H,C,C,C,H,H,H,H,C,C,C,C,C,H,H,D,D,H,H,D,D,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,H,C,H,H,C,C,C,C,C,C,H,H,H,H,H,H,C,C,H,D,H,H,H,H,H,H,C,C,H,D,H,H,H,H,H,C,H,H,C,C,H,H,D,H,H,H,H,H,H,H,H,H,H,H,C,C,C,D,H,H,H,C,C,D,D,D
14,1,1,1.6906,1,2,0,0,2,0,2,2,184,2.107,56,D,H,H,H,C,C,C,H,H,H,H,H,H,H,D,D,H,H,H,H,D,D,H,H,H,H,H,H,C,C,D,-,C,C,H,D,D,D,D,D,H,H,H,H,H,H,D,D,D,D,D,H,C,C,C,C,C,C,C,D,D,D,D,H,H,H,H,C,C,D,D,D,D,C,H,C,H,H,-,H,H,H,H,D,D,D,D,C,C,C,C,C,H,D,D,-,H,H,H,H,D,H,H,H,C,C,C,D,D
15,1,1,1.3416,1,2,0,0,2,0,3,1,222,2.173,73,D,D,D,H,H,H,H,H,H,H,D,D,H,H,H,H,D,D,D,H,D,D,D,D,D,C,C,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,C,C,D,D,H,H,D,D,H,H,C,C,-,C,H,H,H,H,H,D,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,D,D,D,D,H,D,D,D,H,H,H,H,H,C,H,H,H,C,C,H,H,D,D,D,D,D,C,C,C,C
16,1,1,1.9013,0,0,0,0,0,0,0,0,181,1.914,99,H,H,D,D,H,H,C,C,C,C,H,H,H,H,H,H,H,D,D,H,D,-,D,D,D,D,D,H,H,H,H,H,H,H,C,C,-,C,C,C,C,H,H,C,H,C,C,C,C,H,D,D,D,H,H,H,H,C,C,H,H,H,D,D,D,D,D,D,D,C,-,H,H,H,D,H,D,D,H,D,D,H,H,H,H,H,H,H,H,H,H,C,H,H,D,D,H,H,H,H,D,H,H,H,D,D,D,D,C
17,1,1,1.4279,1,2,0,0,1,0,2,2,212,1.663,167,C,C,C,C,C,C,C,C,C,C,C,H,D,D,D,D,C,H,H,D,D,H,H,H,H,D,D,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,C,D,H,H,C,H,H,H,D,D,D,D,D,H,H,H,H,H,D,H,H,H,C,-,H,H,C,C,C,H,C,H,C,C,C,C,-,-,H,H,H,D,H,H,H,H,H,H,H,D,D,D,H,H,C,C,C,C,C,C,C,C,C,C,C
18,1,1,1.1248,0,0,0,0,0,0,0,0,231,2.107,103,H,H,H,D,D,D,H,H,C,C,H,H,D,D,D,D,D,D,H,C,D,D,D,D,D,H,H,C,C,H,H,D,D,D,H,H,H,C,C,C,D,H,H,H,C,C,C,H,D,H,H,H,C,C,C,C,C,C,C,C,C,C,-,D,D,D,D,H,C,H,C,C,H,H,C,H,C,H,H,H,D,D,D,D,D,H,H,D,D,D,D,D,D,D,C,C,-,D,D,D,C,D,D,D,D,D,D,D,D
19,1,1,1.3499,1,2,0,0,1,0,3,1,284,1.857,212,H,H,H,D,D,D,H,H,H,H,D,D,C,C,C,C,D,D,D,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,D,D,D,C,C,C,C,C,C,H,H,H,H,H,H,H,H,C,-,C,C,H,H,H,H,H,C,C,C,C,C,H,H,H,H,H,D,H,D,D,H,H,D,H,C,C,H,H,D,D,H,H,H,H,H,H,C,C,C,H,H,H,H,D,H,H,H,C,C,C,D,D
20,1,1,1.4543,1,2,0,0,4,0,4,1,172,1.892,94,C,C,C,C,C,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,D,-,H,H,H,-,H,H,C,C,H,H,H,H,H,H,H,D,D,D,C,C,C,H,H,H,H,H,H,D,D,H,H,H,H,C,C,C,H,H,H,H,D,D,D,D,D,H,H,D,D,D,D,D,H,D,H,H,H,C,H,H,H,D,D,D,D,H,H,C,C,C,H,H,H,H,D,C,C,C,D,D,H,H,D,D,D,D,C
21,1,1,1.4302,1,2,15,3.16,4,4,1,1,246,2.13,111,H,H,H,H,H,H,D,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,D,D,H,H,H,H,H,H,H,H,H,H,H,D,H,H,D,H,H,H,H,H,H,-,H,H,H,H,H,D,C,C,C,C,C,C,C,D,D,H,H,C,H,C,H,H,C,H,H,H,H,H,D,D,H,C,C,C,H,D,D,D,H,-,D,D,C,C,H,H,H,H,C,C,C,C,C
22,1,1,1.3204,1,2,0,0,1,0,2,1,214,1.681,166,C,C,C,H,H,H,C,C,C,C,H,H,H,H,H,H,C,C,H,H,D,D,H,H,H,H,H,H,H,H,H,C,C,C,H,H,H,H,H,D,H,H,H,H,C,D,H,H,C,H,H,H,H,D,-,C,C,H,H,H,H,D,H,H,H,H,H,H,C,C,C,C,C,H,H,H,-,C,C,C,H,-,H,H,C,C,H,C,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C
